"Местное время в Толмачёво / им. А. И. Покрышкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"04.08.2018 13:30";"23.0";"745.5";"754.6";"44";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"04.08.2018 13:00";"23.0";"745.5";"754.6";"44";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"04.08.2018 12:30";"22.0";"745.5";"754.6";"47";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"04.08.2018 12:00";"21.0";"745.5";"754.6";"53";"Ветер, дующий с юга";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 11:30";"21.0";"745.5";"754.6";"53";"Ветер, дующий с юго-юго-востока";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 11:00";"20.0";"746.2";"755.4";"60";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"04.08.2018 10:30";"19.0";"746.2";"755.4";"60";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 10:00";"18.0";"746.2";"755.4";"64";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 09:30";"17.0";"746.1";"755.4";"68";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 09:00";"16.0";"746.1";"755.4";"72";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 08:30";"15.0";"746.8";"756.2";"77";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"04.08.2018 08:00";"13.0";"746.8";"756.2";"82";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"04.08.2018 07:30";"12.0";"746.7";"756.2";"82";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"04.08.2018 07:00";"9.0";"747.3";"756.9";"87";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"04.08.2018 06:30";"9.0";"747.3";"756.9";"82";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"04.08.2018 06:00";"8.0";"747.3";"756.9";"82";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 05:30";"8.0";"747.3";"756.9";"87";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"04.08.2018 05:00";"7.0";"748.1";"757.7";"87";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 04:30";"8.0";"748.1";"757.7";"82";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 04:00";"8.0";"748.1";"757.7";"82";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 03:30";"8.0";"748.6";"758.2";"82";"Ветер, дующий с востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 03:00";"9.0";"748.6";"758.2";"76";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 02:30";"10.0";"748.7";"758.2";"76";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"04.08.2018 02:00";"9.0";"748.6";"758.2";"76";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 01:30";"9.0";"748.6";"758.2";"82";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"04.08.2018 01:00";"10.0";"749.4";"759.0";"76";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"04.08.2018 00:30";"11.0";"749.5";"759.0";"67";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"04.08.2018 00:00";"12.0";"749.5";"759.0";"67";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 23:30";"12.0";"749.5";"759.0";"67";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 23:00";"12.0";"750.2";"759.7";"67";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 22:30";"14.0";"750.3";"759.7";"59";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 22:00";"14.0";"750.3";"759.7";"55";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"9.0";"5.0";
"03.08.2018 21:30";"15.0";"750.3";"759.7";"55";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 21:00";"15.0";"750.3";"759.7";"55";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 20:30";"17.0";"750.4";"759.7";"49";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 20:00";"18.0";"750.4";"759.7";"46";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 19:30";"18.0";"750.4";"759.7";"46";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 19:00";"19.0";"750.4";"759.7";"40";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 18:30";"19.0";"751.2";"760.5";"43";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 18:00";"19.0";"751.2";"760.5";"40";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 17:30";"19.0";"751.2";"760.5";"43";"Переменное направление";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 17:00";"18.0";"751.2";"760.5";"40";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"03.08.2018 16:30";"19.0";"751.2";"760.5";"40";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 16:00";"18.0";"751.2";"760.5";"43";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 15:30";"18.0";"751.2";"760.5";"43";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 15:00";"18.0";"751.9";"761.2";"40";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"03.08.2018 14:30";"18.0";"751.9";"761.2";"43";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 14:00";"17.0";"751.8";"761.2";"39";"Ветер, дующий с северо-запада";"2";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"3.0";
"03.08.2018 13:30";"17.0";"751.8";"761.2";"39";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"3.0";
"03.08.2018 13:00";"16.0";"751.8";"761.2";"45";"Переменное направление";"2";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"4.0";
"03.08.2018 12:30";"16.0";"751.8";"761.2";"48";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"5.0";
"03.08.2018 12:00";"16.0";"751.8";"761.2";"48";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 780 м";"10.0 и более";"5.0";
"03.08.2018 11:30";"15.0";"752.6";"762.0";"51";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"5.0";
"03.08.2018 11:00";"15.0";"752.6";"762.0";"45";"Переменное направление";"2";"";"";"";"Незначительная (10-30%) 780 м";"10.0 и более";"3.0";
"03.08.2018 10:30";"15.0";"752.6";"762.0";"51";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"5.0";
"03.08.2018 10:00";"14.0";"752.5";"762.0";"63";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"7.0";
"03.08.2018 09:30";"13.0";"752.5";"762.0";"67";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"7.0";
"03.08.2018 09:00";"11.0";"752.4";"762.0";"82";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"8.0";
"03.08.2018 08:30";"9.0";"751.6";"761.2";"94";"Переменное направление";"1";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"8.0";
"03.08.2018 08:00";"7.0";"751.5";"761.2";"100";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"7.0";
"03.08.2018 07:30";"6.0";"751.5";"761.2";"100";"Штиль, безветрие";"0";"";"";"";"Незначительная (10-30%) 600 м";"10.0 и более";"6.0";
"03.08.2018 07:00";"4.0";"751.4";"761.2";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"7.0";"4.0";
"03.08.2018 06:30";"3.0";"751.4";"761.2";"100";"Ветер, дующий с западо-юго-запада";"1";"";"Туман";"";"Нет существенной облачности";"5.0";"3.0";
"03.08.2018 06:00";"2.0";"750.7";"760.5";"100";"Ветер, дующий с западо-северо-запада";"2";"";"Дымка";"";"Нет существенной облачности";"8.0";"2.0";
"03.08.2018 05:30";"4.0";"750.7";"760.5";"100";"Ветер, дующий с запада";"1";"";"Дымка";"";"Нет существенной облачности";"5.0";"4.0";
"03.08.2018 05:00";"4.0";"750.7";"760.5";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"03.08.2018 04:30";"4.0";"750.7";"760.5";"100";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"03.08.2018 04:00";"3.0";"750.7";"760.5";"100";"Ветер, дующий с северо-запада";"2";"";"Туман";"";"Нет существенной облачности";"10.0 и более";"3.0";
"03.08.2018 03:30";"4.0";"750.7";"760.5";"93";"Ветер, дующий с западо-северо-запада";"2";"";"Туман";"";"Нет существенной облачности";"9.0";"3.0";
"03.08.2018 03:00";"6.0";"750.8";"760.5";"100";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"03.08.2018 02:30";"5.0";"750.8";"760.5";"93";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"03.08.2018 02:00";"5.0";"750.8";"760.5";"100";"Ветер, дующий с западо-северо-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 01:30";"6.0";"750.0";"759.7";"93";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 01:00";"6.0";"750.0";"759.7";"93";"Ветер, дующий с северо-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 00:30";"6.0";"750.0";"759.7";"93";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"03.08.2018 00:00";"8.0";"750.1";"759.7";"87";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 23:30";"8.0";"750.1";"759.7";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"02.08.2018 23:00";"9.0";"749.4";"759.0";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 22:30";"9.0";"749.4";"759.0";"82";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 22:00";"10.0";"749.4";"759.0";"82";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 21:30";"12.0";"749.5";"759.0";"72";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 21:00";"12.0";"748.7";"758.2";"72";"Ветер, дующий с севера";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 20:30";"14.0";"748.8";"758.2";"59";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 20:00";"15.0";"748.8";"758.2";"55";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 19:30";"15.0";"748.8";"758.2";"59";"Ветер, дующий с севера";"3";"";"";"";"Разорванная (60-90%) 1590 м, кучево-дождевые облака";"10.0 и более";"7.0";
"02.08.2018 19:00";"15.0";"748.3";"757.7";"59";"Ветер, дующий с севера";"5";"";"";"";"Разорванная (60-90%) 1590 м, кучево-дождевые облака";"10.0 и более";"7.0";
"02.08.2018 18:30";"16.0";"748.4";"757.7";"55";"Ветер, дующий с севера";"6";"";"";"";"Разорванная (60-90%) 1500 м, кучево-дождевые облака";"10.0 и более";"7.0";
"02.08.2018 18:00";"17.0";"748.4";"757.7";"56";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 1500 м, кучево-дождевые облака";"10.0 и более";"8.0";
"02.08.2018 17:30";"17.0";"748.4";"757.7";"56";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1740 м, кучево-дождевые облака";"10.0 и более";"8.0";
"02.08.2018 17:00";"17.0";"747.6";"756.9";"52";"Ветер, дующий с севера";"5";"";"";"";"Рассеянная (40-50%) 1740 м, кучево-дождевые облака";"10.0 и более";"7.0";
"02.08.2018 16:30";"18.0";"747.6";"756.9";"49";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1680 м, кучево-дождевые облака";"10.0 и более";"7.0";
"02.08.2018 16:00";"19.0";"747.7";"756.9";"46";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 15:30";"19.0";"747.7";"756.9";"43";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"6.0";
"02.08.2018 15:00";"19.0";"747.7";"756.9";"46";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 14:30";"18.0";"747.6";"756.9";"43";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"02.08.2018 14:00";"19.0";"747.7";"756.9";"46";"Переменное направление";"2";"8";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 13:30";"18.0";"747.6";"756.9";"49";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"02.08.2018 13:00";"19.0";"747.7";"756.9";"46";"Ветер, дующий с востока";"2";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"7.0";
"02.08.2018 12:30";"18.0";"747.6";"756.9";"52";"Ветер, дующий с севера";"3";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"8.0";
"02.08.2018 12:00";"17.0";"747.6";"756.9";"52";"Ветер, дующий с севера";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"7.0";
"02.08.2018 11:30";"17.0";"747.6";"756.9";"49";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"6.0";
"02.08.2018 11:00";"17.0";"747.6";"756.9";"59";"Ветер, дующий с северо-востока";"3";"";"";"";"Рассеянная (40-50%) 1380 м";"10.0 и более";"9.0";
"02.08.2018 10:30";"16.0";"747.6";"756.9";"63";"Ветер, дующий с северо-востока";"3";"";"";"";"Незначительная (10-30%) 1290 м";"10.0 и более";"9.0";
"02.08.2018 10:00";"16.0";"747.6";"756.9";"68";"Ветер, дующий с северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 09:30";"14.0";"747.5";"756.9";"72";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 09:00";"13.0";"747.5";"756.9";"77";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 08:30";"12.0";"747.4";"756.9";"82";"Ветер, дующий с северо-северо-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 08:00";"12.0";"747.4";"756.9";"82";"Ветер, дующий с северо-северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 07:30";"11.0";"746.7";"756.2";"88";"Ветер, дующий с северо-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 07:00";"11.0";"746.7";"756.2";"88";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 06:30";"11.0";"746.7";"756.2";"94";"Ветер, дующий с севера";"3";"";"Слабый(ая)(ые) дождь";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 06:00";"11.0";"746.7";"756.2";"94";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 05:30";"11.0";"746.7";"756.2";"94";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Сплошная (100%) 1470 м";"10.0 и более";"10.0";
"02.08.2018 05:00";"11.0";"746.7";"756.2";"94";"Ветер, дующий с северо-востока";"3";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 1470 м";"10.0 и более";"10.0";
"02.08.2018 04:30";"12.0";"747.4";"756.9";"88";"Ветер, дующий с севера";"3";"";"Слабый(ая)(ые) дождь";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 04:00";"12.0";"746.7";"756.2";"88";"Ветер, дующий с севера";"3";"";"";"";"Сплошная (100%) 1410 м";"10.0 и более";"10.0";
"02.08.2018 03:30";"12.0";"746.7";"756.2";"88";"Ветер, дующий с севера";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 03:00";"12.0";"746.7";"756.2";"88";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 02:30";"12.0";"746.7";"756.2";"88";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 02:00";"12.0";"746.7";"756.2";"88";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 01:30";"12.0";"746.7";"756.2";"82";"Ветер, дующий с северо-северо-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"02.08.2018 01:00";"13.0";"746.8";"756.2";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 00:30";"13.0";"746.8";"756.2";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"02.08.2018 00:00";"13.0";"746.8";"756.2";"82";"Ветер, дующий с севера";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"01.08.2018 23:30";"13.0";"746.8";"756.2";"88";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"01.08.2018 23:00";"15.0";"746.8";"756.2";"82";"Ветер, дующий с севера";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"01.08.2018 22:30";"14.0";"746.8";"756.2";"94";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"01.08.2018 22:00";"15.0";"746.8";"756.2";"88";"Ветер, дующий с северо-запада";"2";"";"";"";"Нет существенной облачности";"9.0";"13.0";
"01.08.2018 21:30";"17.0";"746.9";"756.2";"77";"Ветер, дующий с северо-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"13.0";
"01.08.2018 21:00";"18.0";"746.9";"756.2";"78";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Разорванная (60-90%) 1590 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 20:30";"18.0";"746.9";"756.2";"78";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Разорванная (60-90%) 1470 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 20:00";"18.0";"746.9";"756.2";"73";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 1380 м, кучево-дождевые облака";"10.0 и более";"13.0";
"01.08.2018 19:30";"19.0";"747.0";"756.2";"68";"Ветер, дующий с севера";"2";"";"";"";"Рассеянная (40-50%) 1380 м, кучево-дождевые облака";"10.0 и более";"13.0";
"01.08.2018 19:00";"20.0";"747.0";"756.2";"64";"Ветер, дующий с севера";"2";"";"";"";"Рассеянная (40-50%) 1200 м, кучево-дождевые облака";"10.0 и более";"13.0";
"01.08.2018 18:30";"20.0";"747.0";"756.2";"69";"Ветер, дующий с северо-северо-запада";"1";"";"";"";"Разорванная (60-90%) 1170 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 18:00";"19.0";"747.0";"756.2";"73";"Переменное направление";"1";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 1020 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 17:30";"19.0";"747.0";"756.2";"78";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 1230 м, кучево-дождевые облака";"10.0 и более";"15.0";
"01.08.2018 17:00";"20.0";"747.0";"756.2";"69";"Ветер, дующий с севера";"3";"";"";"";"Разорванная (60-90%) 1230 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 16:30";"20.0";"747.0";"756.2";"69";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 16:00";"19.0";"747.0";"756.2";"73";"Ветер, дующий с севера";"3";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 15:30";"21.0";"747.0";"756.2";"64";"Ветер, дующий с северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1170 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 15:00";"20.0";"747.0";"756.2";"69";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Рассеянная (40-50%) 1050 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 14:30";"18.0";"747.6";"756.9";"78";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Рассеянная (40-50%) 1050 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 14:00";"20.0";"747.7";"756.9";"69";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Рассеянная (40-50%) 1080 м, кучево-дождевые облака";"10.0 и более";"14.0";
"01.08.2018 13:30";"20.0";"747.7";"756.9";"64";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 1110 м, кучево-дождевые облака";"10.0 и более";"13.0";
"01.08.2018 13:00";"21.0";"747.7";"756.9";"60";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"13.0";
"01.08.2018 12:30";"21.0";"747.7";"756.9";"57";"Ветер, дующий с запада";"6";"";"";"";"Рассеянная (40-50%) 1140 м";"10.0 и более";"12.0";
"01.08.2018 12:00";"21.0";"747.7";"756.9";"57";"Ветер, дующий с запада";"5";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"01.08.2018 11:30";"21.0";"747.7";"756.9";"60";"Ветер, дующий с запада";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"13.0";
"01.08.2018 11:00";"20.0";"747.7";"756.9";"60";"Ветер, дующий с запада";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"12.0";
"01.08.2018 10:30";"20.0";"747.7";"756.9";"60";"Ветер, дующий с запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"01.08.2018 10:00";"19.0";"747.7";"756.9";"64";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"01.08.2018 09:30";"17.0";"747.6";"756.9";"73";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"01.08.2018 09:00";"16.0";"747.6";"756.9";"77";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"12.0";
"01.08.2018 08:30";"14.0";"747.5";"756.9";"82";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"11.0";
"01.08.2018 08:00";"13.0";"748.3";"757.7";"82";"Ветер, дующий с юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"10.0";
"01.08.2018 07:30";"12.0";"748.2";"757.7";"82";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"01.08.2018 07:00";"11.0";"748.2";"757.7";"88";"Ветер, дующий с юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"9.0";
"01.08.2018 06:30";"8.0";"748.1";"757.7";"93";"Ветер, дующий с западо-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 06:00";"9.0";"748.1";"757.7";"87";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 05:30";"9.0";"748.1";"757.7";"87";"Ветер, дующий с западо-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 05:00";"9.0";"748.1";"757.7";"87";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 04:30";"9.0";"748.6";"758.2";"94";"Ветер, дующий с юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"01.08.2018 04:00";"9.0";"748.6";"758.2";"94";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"01.08.2018 03:30";"8.0";"748.6";"758.2";"93";"Ветер, дующий с запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 03:00";"9.0";"748.6";"758.2";"94";"Ветер, дующий с западо-юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"8.0";
"01.08.2018 02:30";"9.0";"748.6";"758.2";"87";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
"01.08.2018 02:00";"10.0";"749.4";"759.0";"82";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"7.0";
